timestamp,event,details
2026-04-27T09:00:00Z,code_change,commit=abc123
2026-04-27T10:10:00Z,session_start,scenario=vr_collab
2026-04-27T10:12:00Z,episode_start,episode=1
2026-04-27T10:45:00Z,session_success,episode=1
2026-04-27T10:46:00Z,episode_end,reason=collision_limit
2026-04-27T11:15:00Z,session_failed,reason=eeg_noise
2026-04-28T09:05:00Z,code_change,commit=def456
2026-04-28T09:40:00Z,session_start,scenario=vr_collab
2026-04-28T09:42:00Z,episode_start,episode=2
2026-04-28T10:05:00Z,session_success,episode=2
2026-04-28T10:06:00Z,episode_end,reason=collision_limit
2026-04-28T12:00:00Z,incident_start,reason=vr_sync_fail
2026-04-28T12:30:00Z,incident_end,fix=restart_pipeline
2026-04-28T12:40:00Z,episode_start,episode=3
2026-04-28T13:10:00Z,session_success,episode=3
2026-04-28T13:12:00Z,episode_end,reason=collision_limit
2026-04-28T14:00:00Z,session_failed,reason=isaac_crash
2026-04-29T09:00:00Z,episode_start,episode=4
2026-04-29T09:30:00Z,session_success,episode=4
2026-04-29T09:31:00Z,episode_end,reason=collision_limit
